 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -36 , goc_lech: 20.8 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 20.7625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.1125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.3 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -32 , goc_lech: 20.125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.8625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 21.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 21.2375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.3875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -36 , goc_lech: 20.8 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.95 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -35 , goc_lech: 20.9875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -33 , goc_lech: 21.0625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 19.975 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -35 , goc_lech: 20.425 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.1375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -37 , goc_lech: 20.5625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 21.350000000000005 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.350000000000005 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.4875 , toc_do: 97real_velocity: 0.00 m/s]
