 [ distance :18 , Curvature -4 , goc_lech: 40.806481481481484 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.222685185185185 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -6 , goc_lech: 40.99444444444445 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :19 , Curvature -7 , goc_lech: 40.6050925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 40.81990740740741 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.1824074074074 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.15555555555556 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :19 , Curvature -4 , goc_lech: 41.30324074074074 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.45092592592593 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.16898148148149 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -6 , goc_lech: 40.99444444444445 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 40.793055555555554 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.1824074074074 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.18240740740741 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.222685185185185 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.1824074074074 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :16 , Curvature -2 , goc_lech: 41.15555555555556 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.16898148148149 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.20925925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -4 , goc_lech: 41.11527777777778 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 40.98101851851852 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -4 , goc_lech: 41.088425925925925 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -4 , goc_lech: 40.87361111111111 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 40.99444444444445 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.222685185185185 , toc_do: 98real_velocity: 0.00 m/s]
